Id,Date,Transaction
0,1/1,+50.25
1,1/2,-30.10
2,1/3,+10.75
3,1/5,-15.30
4,1/7,+25.50
5,1/8,-12.75
6,1/10,-8.90
7,1/12,+20.60
8,1/15,-5.45
9,1/18,+15.75
10,1/20,+10.30
11,1/23,-7.20
12,1/26,-10.50
13,1/28,+12.80
14,1/30,+18.25
15,2/2,-14.60
16,2/5,+5.40
17,2/8,-20.15
18,2/11,+30.70
19,2/14,-25.90
20,2/17,-15.80
21,2/20,+10.60
22,2/23,-8.45
23,2/26,+22.10
24,2/28,+8.75
25,3/3,-12.30
26,3/6,-7.50
27,3/9,+18.90
28,3/12,-15.60
29,3/15,+9.20
30,3/18,-6.40
31,3/21,+12.80
32,3/24,+6.25
33,3/27,-9.70
34,3/30,-14.10
35,4/2,+20.30
36,4/5,-10.50
37,4/8,+15.80
38,4/11,-8.60
39,4/14,-12.90
40,4/17,+10.70
41,4/20,+5.20
42,4/23,-10.75
43,4/26,+12.30
44,4/29,-6.50
45,5/2,-9.40
46,5/5,+18.60
47,5/8,-12.80
48,5/11,-7.25
49,5/14,+10.40
50,5/17,-15.70
51,5/20,+30.10
52,5/23,-25.50
53,5/26,-18.90
54,5/29,+9.60
55,6/1,-7.75
56,6/4,+10.90
57,6/7,-12.25
58,6/10,+15.80
59,6/13,-8.20
60,6/16,-5.70
61,6/19,+12.60
62,6/22,-10.30
63,6/25,+18.75
64,6/28,-6.40
65,7/1,-5.20
66,7/4,+9.75
67,7/7,-7.90
68,7/10,+15.10
69,7/13,-11.80
70,7/16,-12.50
71,7/19,+20.30
72,7/22,-10.60
73,7/25,+8.90
74,7/28,-6.40
75,7/31,+14.80
76,8/3,-5.60
77,8/6,-8.75
78,8/9,+9.40
79,8/12,-10.20
80,8/15,-15.50
81,8/18,+12.70
82,8/21,-7.20
83,8/24,+18.60
84,8/27,-5.80
85,8/30,+10.75
86,9/2,-12.90
87,9/5,-8.20
88,9/8,+7.50
89,9/11,-10.10
90,9/14,-15.80
91,9/17,+12.90
92,9/20,-6.40
93,9/23,-10.75
94,9/26,+15.60
95,9/29,-9.20
96,10/2,+5.45
97,10/5,+18.75
98,10/8,-7.20
99,10/11,-20.60
100,10/14,+12.90
101,10/17,+10.10
102,10/20,-20.30
103,10/23,-9.40
104,10/26,+7.75
105,10/29,-5.70
106,11/1,-15.10
107,11/4,+12.50
108,11/7,+11.80
109,11/10,-20.30
110,11/13,-5.60
111,11/16,+8.90
112,11/19,+15.50
113,11/22,-9.40
114,11/25,-12.70
115,11/28,+14.80
116,12/1,-5.80
117,12/4,+10.20
118,12/7,-7.50
119,12/10,+5.60
120,12/13,-18.60
121,12/16,+12.90
122,12/19,+20.10
123,12/22,-7.80
124,12/25,+9.40
125,12/28,-10.60
126,1/1,+10.30
127,1/4,-12.80
128,1/7,-5.45
129,1/10,+30.70
130,1/13,+20.15
131,1/16,+14.60
132,1/19,-5.40
133,1/22,-18.25
134,1/25,-22.10
135,1/28,+7.20
136,1/31,-20.60
137,2/3,+8.45
138,2/6,-10.60
139,2/9,+15.80
140,2/12,+25.90
141,2/15,+15.30
142,2/18,-20.30
143,2/21,-9.20
144,2/24,+12.80
145,2/27,+10.50
146,3/2,-18.90
147,3/5,+22.50
148,3/8,-12.30
149,3/11,+8.70
150,3/14,-7.40
151,3/17,+12.10
152,3/20,-5.20
153,3/23,+18.60
154,3/26,+10.75
155,3/29,-9.90
156,4/1,-14.30
157,4/4,+25.30
158,4/7,-7.10
159,4/10,-12.80
160,4/13,+5.20
161,4/16,-8.70
162,4/19,-15.40
163,4/22,+30.60
164,4/25,+12.80
165,4/28,-5.45
166,5/1,-20.30
167,5/4,+10.60
168,5/7,-10.50
169,5/10,-7.75
170,5/13,+15.20
171,5/16,-18.60
172,5/19,+12.90
173,5/22,-9.20
174,5/25,-12.50
175,5/28,+20.30
176,5/31,-10.60
177,6/3,-8.75
178,6/6,+9.40
179,6/9,-10.20
180,6/12,-15.50
181,6/15,+12.70
182,6/18,-7.20
183,6/21,+18.60
184,6/24,-5.80
185,6/27,+10.75
186,6/30,-12.90
187,7/3,-8.20
188,7/6,+7.50
189,7/9,-10.10
190,7/12,-15.80
191,7/15,+12.90
192,7/18,-6.40
193,7/21,-10.75
194,7/24,+15.60
195,7/27,-9.20
196,7/30,+5.45
197,8/2,+18.75
198,8/5,-7.20
199,8/8,-20.60
